Time,Height0,Year,MHeight1,MHeight2,FitCoefficients,lati,longi,MHeight3
1985-03-31 05:51:01.827582720,4.82,1985.0,2.3,3.29,2.395404338373839,42.0,-11.0,2.89
1985-04-01 05:21:32.884277312,3.53,1986.0,2.7,3.24,0.9182211868355915,42.0,-10.9,2.49
1985-04-03 02:37:25.165606656,3.92,1987.0,2.46,2.75,0.08288835710777323,42.0,-10.8,2.75
1985-04-04 05:31:34.247370688,3.64,1988.0,2.43,2.18,0.11913255797545985,42.0,-10.7,2.65
1985-04-04 23:38:14.703084544,2.7,1989.0,2.82,1.88,,42.0,-10.6,2.57
1985-04-06 01:46:42.644560832,3.77,1991.0,2.54,1.62,,42.0,-10.5,2.6
1985-04-07 03:30:16.182768640,2.59,1992.0,2.57,1.54,,42.0,-10.4,2.43
1985-04-07 22:50:06.908519616,2.79,1993.0,2.43,1.61,,42.0,-10.3,2.44
1985-04-08 20:36:18.250832960,2.87,1994.0,2.61,1.99,,42.0,-10.2,2.61
1985-04-10 05:49:53.591093248,1.72,1995.0,2.25,2.48,,42.0,-10.1,2.57
1985-04-10 22:28:55.398978304,2.12,1996.0,2.38,2.98,,42.0,-10.0,2.53
1985-04-12 03:44:29.784113088,5.02,1997.0,2.38,3.2,,42.0,-9.9,2.65
1985-04-13 00:52:42.517277440,7.18,1998.0,2.5,,,42.0,-9.8,2.37
1985-04-13 21:23:16.618394048,6.54,1999.0,2.46,,,42.0,-9.7,2.43
1985-04-15 06:35:08.551936000,2.97,2000.0,2.56,,,42.0,-9.6,2.56
1985-04-16 00:28:13.765834432,2.53,2001.0,2.33,,,42.0,-9.5,2.53
1985-04-16 23:44:16.854733952,2.28,2002.0,2.64,,,42.0,-9.4,2.11
1985-04-18 06:43:48.221748416,1.64,2003.0,2.39,,,42.0,-9.3,2.44
1985-04-18 22:09:45.741727680,1.75,2004.0,2.44,,,42.0,-9.2,2.31
1985-04-20 07:21:42.327777984,1.35,2005.0,2.28,,,42.0,-9.1,2.3
1985-04-21 06:52:34.013616192,1.87,2006.0,2.45,,,42.0,-9.0,2.52
1985-04-21 22:19:09.065626816,2.95,2007.0,2.43,,,42.0,-8.9,1.94
1985-04-23 00:02:48.697153984,2.18,2008.0,2.53,,,42.1,-11.0,2.61
1985-04-24 07:01:19.444754688,1.98,2009.0,2.5,,,42.1,-10.9,2.6
1985-04-24 22:28:02.198529088,1.71,2010.0,2.16,,,42.1,-10.8,2.64
1985-04-26 02:28:06.453950784,1.88,2011.0,2.48,,,42.1,-10.7,2.72
1985-04-27 07:11:37.453443968,2.02,2012.0,2.34,,,42.1,-10.6,2.6
1985-04-28 00:18:53.475740608,2.65,2013.0,2.54,,,42.1,-10.5,2.66
1985-04-28 22:07:39.773925568,1.21,2014.0,2.59,,,42.1,-10.4,2.38
1985-04-30 05:38:49.744140544,1.35,2015.0,2.58,,,42.1,-10.3,2.61
1985-05-01 00:41:50.148551616,1.21,2016.0,2.26,,,42.1,-10.2,2.6
1985-05-02 07:57:25.958409920,1.69,2017.0,2.28,,,42.1,-10.1,2.56
1985-05-03 02:20:46.281099712,1.48,2018.0,2.46,,,42.1,-10.0,2.56
1985-05-04 00:42:46.213638784,1.32,2019.0,2.36,,,42.1,-9.9,2.61
1985-05-06 03:37:21.765539200,2.79,2020.0,2.48,,,42.1,-9.8,2.72
1985-05-07 07:07:55.732638336,1.94,2021.0,2.18,,,42.1,-9.7,2.43
1985-05-09 02:35:00.213400192,2.5,2022.0,2.31,,,42.1,-9.6,2.51
1985-05-12 04:41:02.010155904,1.05,2023.0,2.33,,,42.1,-9.5,2.52
1985-05-13 09:01:29.396483968,1.5,2024.0,2.39,,,42.1,-9.4,2.31
1985-05-14 08:32:30.712633216,1.23,,,,,42.1,-9.3,2.37
1985-05-14 23:58:39.051339072,1.92,,,,,42.1,-9.2,2.36
1985-05-16 00:27:16.522997376,2.63,,,,,42.1,-9.1,2.24
1985-05-17 08:40:46.743607872,1.35,,,,,42.1,-9.0,2.37
1985-05-20 08:49:59.665127808,1.14,,,,,42.1,-8.9,2.23
1985-05-21 00:15:02.984373696,1.52,,,,,42.2,-11.0,2.61
1985-05-22 09:28:36.999219072,0.6,,,,,42.2,-10.9,2.63
1985-05-23 07:04:47.110932800,1.08,,,,,42.2,-10.8,2.69
1985-05-24 08:30:02.585115072,1.39,,,,,42.2,-10.7,2.62
1985-05-25 01:56:39.592321152,1.95,,,,,42.2,-10.6,2.64
1985-05-26 09:08:41.914288704,1.87,,,,,42.2,-10.5,2.62
1985-05-27 00:31:46.430609664,0.51,,,,,42.2,-10.4,2.68
1985-05-28 09:46:02.011505664,1.51,,,,,42.2,-10.3,2.49
1985-05-29 01:11:17.335027904,1.85,,,,,42.2,-10.2,2.68
1985-05-30 00:43:06.513592768,1.69,,,,,42.2,-10.1,2.63
1985-06-01 07:24:25.608018688,1.16,,,,,42.2,-10.0,2.54
1985-06-02 01:13:39.242511104,1.5,,,,,42.2,-9.9,2.65
1985-06-03 10:03:40.784149632,1.26,,,,,42.2,-9.8,2.56
1985-06-05 10:41:13.076822976,1.36,,,,,42.2,-9.7,2.43
1985-06-06 10:12:38.538909504,0.93,,,,,42.2,-9.6,2.5
1985-06-09 10:20:56.660212928,1.77,,,,,42.2,-9.5,2.62
1985-06-11 10:58:43.080077568,1.96,,,,,42.2,-9.4,2.31
1985-06-12 10:29:30.773841536,2.02,,,,,42.2,-9.3,2.4
1985-06-14 11:08:06.102564224,1.4,,,,,42.2,-9.2,2.32
1985-06-15 10:40:28.747768384,1.4,,,,,42.2,-9.1,2.25
1985-06-16 10:09:32.468437312,0.8,,,,,42.2,-9.0,2.19
1985-06-17 11:16:52.622721536,1.02,,,,,42.2,-8.9,2.73
1985-06-18 10:48:25.088098048,1.21,,,,,42.2,-8.8,1.69
1985-06-20 09:34:29.551226496,1.56,,,,,42.3,-11.0,2.88
1985-06-21 10:57:33.731291264,2.54,,,,,42.3,-10.9,2.58
1985-06-22 04:11:49.422169216,4.04,,,,,42.3,-10.8,2.62
1985-06-23 09:37:27.146952320,2.62,,,,,42.3,-10.7,2.58
1985-06-24 11:05:52.722556160,1.73,,,,,42.3,-10.6,2.65
1985-06-25 02:42:09.130639040,1.48,,,,,42.3,-10.5,2.64
1985-06-26 09:59:37.593593024,1.03,,,,,42.3,-10.4,2.68
1985-06-27 05:34:56.843087168,1.24,,,,,42.3,-10.3,2.5
1985-06-28 02:40:00.482312576,0.62,,,,,42.3,-10.2,2.63
1985-06-29 08:15:29.342395968,1.06,,,,,42.3,-10.1,2.45
1985-06-30 03:17:19.077799616,1.11,,,,,42.3,-10.0,2.65
1985-07-01 02:50:01.573243328,0.6,,,,,42.3,-9.9,2.68
1985-07-01 22:41:12.767319296,0.86,,,,,42.3,-9.8,2.65
1985-07-02 12:01:07.207385856,1.29,,,,,42.3,-9.7,2.71
1985-07-04 12:38:43.491997120,1.36,,,,,42.3,-9.6,2.5
1985-07-05 12:09:23.491818880,1.21,,,,,42.3,-9.5,2.48
1985-07-07 12:47:37.511102016,2.32,,,,,42.3,-9.4,2.39
1985-07-08 12:19:58.149553408,1.93,,,,,42.3,-9.3,2.37
1985-07-10 12:56:14.025428800,0.93,,,,,42.3,-9.2,2.34
1985-07-11 14:21:09.624844032,1.9,,,,,42.3,-9.1,2.3
